,rnum,publisher,creator,collectionDb,title,subjectKeyword,referenceIdentifier,alternativeTitle,extent,medium,temporal,reference,rights,source,charge,venue,time,description,subDescription,spatial,url
10,11,MPKB22,이대자연사,이뮤지엄 DB,Anadara gramosa(부족류),,www.emuseum.go.kr/openapi/img?serviceKey=a4lifrltTnOU7A3gZhw4miP0KPWr%2BVBqkKRw86nGf7poDx9PN1cGVjGIlOw1UywSR2KHp%2FkAlIT51AfOrlXHoVopSW6D81GVr54zxixSWLvFxFBPsvW3FhPd2Qnn14m6N5Xj8i37gfU%3D&imageId=T3BlbXJOcm1uSGZheFk4YXNxU3FZUFZNUDA5VjNSVFMvTkttSUJMZGt1RnZKTUtra2dFZzFLQzRMTW1HTSswQg%3D%3D,,"가로 2.5cm, 세로 2.5cm, 높이 1.5cm",화석-중생대,시대미상,,,,,,,피조개와 비슷한 형태.,미디어-기록물-영상/음성기록,국적:한국||출토지:제주도,http://www.emuseum.go.kr/detail?relicId=PS0100502300130016200000
11,12,MPKB22,제주민속자연사,이뮤지엄 DB,백자접시,,www.emuseum.go.kr/openapi/img?serviceKey=O5v37wywSUwlukNjqOxORaTVEiWyTdTWCoP1XaH81mjLpkb%2B6QrlI0IYcJbA3p6wYyyOuAynoFXxOiQr96cK40%2B3viZaALnX2ajRHoyRxOMydleLwtK2czzc5BiZ0tAfjZtXu%2FptDag%3D&imageId=TzVBTHh3Z0I3UE56cktJSUlleVhVcHVPV1U0M0Zjd3poUXMxYXV4bmtsNFp0dk4xaEJJdmtoci9qL2pNYzUrVUhvQ3p0RGFiallCQWtTVUl0YmhVNGIyZGlmQ2FTRkxB,,"높이 4cm, 입지름 11.5cm, 받침지름 5cm",도자기-백자,조선,,,,,,,깊고 두꺼운 사발 모양의 접시,식생활-음식기-음식-접시,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100008700000
12,13,MPKB22,제주민속자연사,이뮤지엄 DB,백자접시,,www.emuseum.go.kr/openapi/img?serviceKey=gzv0s0T%2Fsc44ZomCNZe%2BLFS%2B%2FVBnb%2BFbKH2UTaF3mL6EN5APRGlOWyJxru2%2F8gEVFqr8L%2BdPha33pf%2FiJJeHQbNubXlq3DoA85C%2FETyc41VBC5Ae0vuyc1KYrPYPKqYxqmx6pvCJLt0%3D&imageId=OXVkb2MrRGQrUnZSamVVN0IwbW54UzdubDNNdFFYRThpSC82MkdGTjRQOXN3dmhQd2RPNWRMWWpqaG5WdnNUU0tISDVmTzBBVyszTENoaUF6NDZIaHlOZTN5QUlMMmQ0,,"높이 4cm, 입지름 10cm, 받침지름 4.3cm",도자기-백자,조선,,,,,,,바닥이 깊고 위로 올라갈수록 기벽이 벌어짐,식생활-음식기-음식-접시,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100008800000
13,14,MPKB22,제주민속자연사,이뮤지엄 DB,백자무문소병,,www.emuseum.go.kr/openapi/img?serviceKey=wXEe80reu8grLdQqpTCxPvDXi0jPZ8WR%2Fe8mosFzBcZqmQDahzpdSJSsIbYTXThUJvUQh5KQsiGX8X7w5J3IYuv%2BZQ2rgstv9Sib%2Bul7PSid%2BtZ649sBrUFctyGB9E%2Fy1bC7X8yDRRY%3D&imageId=blhtSTA3MDFHRm5GWU9Yb2laYm4ya0VLa3lQSWt2UHpQVG9tMTZuS3NuSVM3b25vMGNyR2VNSlQzM1lLTkY2YWJtYWQ2WGJKQnUyRTVOeEgwOXJNbDU3bTQyRGxvUEpz,,"입지름 4.3cm, 높이 13cm, 바닥지름 5.2cm",도자기-백자,조선,,,,,,,"동체 중앙을 중심으로 위, 아래로 부드럽게 벌어졌으며, 입술도 넓게 벌어져서 전체적으로 아담한 느낌
물, 술 등의 보관용",식생활-음식기-저장운반-병,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100006600000
14,15,MPKB22,제주민속자연사,이뮤지엄 DB,분청사기팔각접시,,www.emuseum.go.kr/openapi/img?serviceKey=oec%2BB17D2D7ITYqjVv6fkfaRRJ3SwmvOaevN%2BXiEE6YRiGNeAelsmwwBDejj1A3c4%2FzB0R69J7ecOC%2F4LWCQ9s5XxNWyiLhljVWboIE%2FFBhxvH3O8cBM0LKoZBsGn%2FRwn0atEIpZ4N0%3D&imageId=TFh6aFY3MHpKMWVRM1RzRGJYUnVMdm1Sbktmb1VBdjkwNzYyVDNvQmxyRVYzN3dZZzdaeDY1ODNranhMWXE1aTh4NllCTUtDSXhSL28xak9QNWIyRDJMVFVpL1lPNjhr,,"지름 11cm, 바닥지름 6cm",도자기-분청,조선,,,,,,,"입술 일부 훼손
팔각",식생활-음식기-음식-접시,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100050200000
15,16,MPKB22,제주민속자연사,이뮤지엄 DB,분청사기무문접시,,www.emuseum.go.kr/openapi/img?serviceKey=UtatDJRwR7BE37QUowefajKQpvu8z1LWCjpnqseAOR9VFO09u0TbZweMyzltlL8b3w0qq9HrY9Z5P7dvf%2Foiz419IArpNps0ycq8ttxx%2Fqrm%2FK5Y95xBbn2tUT6BiXrBR8cYsTCKw0c%3D&imageId=MTJLNDBUeHNDQkFQWFIzUnhHYk83WXFZNkswckVJY1dkc1lsSmdaaldtZWNMWGpUSnNOMC9jRHU3bkJ4bTBVV0w0SlFSOFBDV09XbUdBMjVlZTdncjlyMk5MUHB6eFpB,,"지름 12.2cm, 받침지름 4.7cm",도자기-분청,조선,,,,,,,"얕은 바닥에 여러개의 동심원문이 그어짐
실금이 있음",식생활-음식기-음식-접시,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100050400000
16,17,MPKB22,제주민속자연사,이뮤지엄 DB,분청사기무문접시,,,,"지름 12.5cm, 받침지름 3.7cm",도자기-분청,조선,,,,,,,"유약이 많이 산화됨
바닥이 얕음",식생활-음식기-음식-접시,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100050500000
17,18,MPKB22,제주민속자연사,이뮤지엄 DB,토기향로,,www.emuseum.go.kr/openapi/img?serviceKey=DtwdsBXGCbRkS2uNcGFnQs5QWppMT3rnRznfoqtQArk1z72IL40kHI4nydrX4Fmbfbp6hvAgkbaLHBEO%2F%2B%2B7a2Z7CJUdngulMPPs27J4%2FP5wI%2FnJUnQPslYSPI7ing1Bpnbj9F4EkeU%3D&imageId=ZFZUWmFxMmltYjhkL2xycWtMQjNLbHVJeTFFb3daNHhZUGIrdmhuby9WY0tJYnp2UFlCck8zS0dtOE9OcE5tVGtTSDFWM2JHa2tlaENWRFNWREgyZ3lIT1dqd2U0N05T,,"높이 10.2cm, 지름 7.8cm, 바닥지름 11.0cm",흙-경질,신라,,,,,,,"절구모양, 위가 벌어지게 만든 토제향로, 향불을 피우는 그릇",사회생활-의례생활-제례-향로,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100050600000
18,19,MPKB22,제주민속자연사,이뮤지엄 DB,청화백자초엽문사발,,www.emuseum.go.kr/openapi/img?serviceKey=q4KbtJz9p1RxzbPKlmyLS8Co8hXAZ8WmGlmKFkaJya9dM%2BDW3KaUnTg92vi%2BrEQEYPdFOEpfYQOfVsnDVP4jyvfkVFwpNQP05Fq7Xnx7XVxowv9XWFGMN7gDpJLlAkvr%2BixaG7w%2FuBc%3D&imageId=OXNpamh1ZUtLcEJ0Uit3WVlGM1VFL2thNERhY1gzTEF4cEhZVmRrZWJaSFVxdGpMbExPTGVxenFKRkE3UUp1RjhTRFpFcHNhUGpzNFdLcjBZZ2lMOFo0T2c4bTRwTmJK,,"입지름 13.5cm, 높이 9.0cm, 받침지름 9.3cm",도자기-분청,조선,,,,,,,아랫부분이 배부른 겉면에 풀꽃잎 서너개가 그려진 사발,식생활-음식기-음식-발,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100051800000
19,20,MPKB22,제주민속자연사,이뮤지엄 DB,청화백자화엽문대접,,www.emuseum.go.kr/openapi/img?serviceKey=xyGz8Qv%2BwBA30%2FIu9cl4Wu5eKjZo4il7%2BgovU6BKjhi99o98igKqJ0mGr%2Bc9QOia%2BhzMCiXnbSzwrCg4v4pYEFSBjvQaXcWib4eSYUpWC0YslHpyjRZE1r1KpLOjS6N%2Br9A%2FEMbKoq8%3D&imageId=ZUpLeVpKYTUvUHgzM1BGSnU3a01rQkQ1VWpWVVlMMFFWYkgxTjg0Zm8rTnJaNWQ2eHU0N0VUQWtob0Q5cnVjU0loTDFQbUdNazAxTlFhbnNUb0dLQVhnS2NrOFA5VGRt,,"높이 8.4cm, 입지름 17.0cm, 받침지름 7.0cm",도자기-백자,조선,,,,,,,"입술부에 모란무늬가 그려진 대접
실금이 있고 구연부 일부 훼손",식생활-음식기-음식-대접,국적:한국||출토지:제주도-북제주군,http://www.emuseum.go.kr/detail?relicId=PS0100319100100055300000
20,21,MPKB22,제주민속자연사,이뮤지엄 DB,살레,,,,높이 138.0cm,나무-기타,조선,,,,,,,"대를 얽어 삼단층을 만든 투박한 찬장
그릇보관",주생활-생활용품/가전-가구-찬장,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100076800000
21,22,MPKB22,제주민속자연사,이뮤지엄 DB,수저통  ,,www.emuseum.go.kr/openapi/img?serviceKey=xJtOyAnqCiQtUrB1jzk%2FF7SFHpZfY4a7lF6mfIx25KhYkC1XXjeOxQvmgz314ZRV6X4PRWSDsqvdz4m5JcxcDmKcwFCLClaJvwxJDrdOkVAKFd98YohBl3MCaOJEoYWLJUBsIpKZPxo%3D&imageId=d21ObXZPc3gxMGJCRlZNMHdVY3B4WkFFQlk5VFpnUHZpTUpKWWJTckgrVUdPQjFzWStEd3FKVFVvMEZ5bHVoMWNkMFhnQ2xoSDErRXFaV3FCZU53TG1GQ2c4M0puSHhS,,"높이 20.0cm, 지름 12.0cm",나무-대나무,조선,,,,,,,"굵은 대나무의 한마디를 자른통
수저의 보관",식생활-음식기-음식-수저통,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100077000000
22,23,MPKB22,제주민속자연사,이뮤지엄 DB,수저통  ,,www.emuseum.go.kr/openapi/img?serviceKey=HVRW9Qj%2Ft69yvHcgQyVNLHQIs%2FfHy5o5EXmipQ793dO%2F1agPE2KznFkhJ1t5cnmt55p1fGBgL1KbyulHnl%2FknZAMJoXW9d3Y852XxaGcdeM8Yfivgz8D9dvUjliqB0DTX9Fx5BMeSYk%3D&imageId=RHpRR0lEWmUzM1dKNGp6T1JTVHk3c3NKNEs3Ky9MQWZaR0lhRVViTjJVVmxZRVRtWE1yM2NSZFVXa2tBT2Nqa28vNFNiaGxOcnd0TGROT2JFcmhXS0N1YVpRaXpCNjRL,,"높이 23.0cm, 지름 12.0cm",나무-대나무,광복이후,,,,,,,"굵은 대나무이 한마디를 자른 통
수저의 보관",식생활-음식기-음식-수저통,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100077100000
23,24,MPKB22,제주민속자연사,이뮤지엄 DB,분청사기초엽문접시,,www.emuseum.go.kr/openapi/img?serviceKey=uziPH%2FcnhL3HGmr6WlF4mQ5k6J1ALzcxOITn%2FKINty8VcTfoqX%2FwICUVwwJcKzXiJvuweO1AX6pRv6liubtqEC8I0LaoB6zy3MnSP7CwZJFVxCOm8LG2IL5cYpkmUp%2Fv8qmI%2Bst61X0%3D&imageId=cXdIdTluYk9NbW80ZC9YeHg5dHBQL2VLa2VBem9VdXFRR3NwZnlEbklicE5ZcUxEaDJ4M014dTVBQXhwWkY5bklMbGNmSXUzbHdsTkNtME91UzlpeTNjNE0zVHRIaHRI,,"지름 9.5cm, 받침지름 5.0cm",도자기-분청,조선,,,,,,,"위로 둥글게 벌어진 접시
내면에 내저면에 불규칙한 풀잎 서너개를 그림",식생활-음식기-음식-접시,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100051900000
24,25,MPKB22,제주민속자연사,이뮤지엄 DB,곰박      ,,www.emuseum.go.kr/openapi/img?serviceKey=7Tt2oB41HO6gdUR%2FAwpAvIerY0rYLlrUnsDMc0JVhCARr%2FekAyVI44jLT4j7xrCRSTdjzz2x0MHIOTOCo1n%2BSjv8KtjiYhwHhp5j5%2FXVc%2BdizQoF3iJgP1GCaCLwn8vEGoR1jEa498I%3D&imageId=WFNKMGg3d3crT0s5YlN0R3R0UHNxRVNUcEhsd0hpRGM3LzR2ZUViYnBvT1IrR29YRllHWVJ4eHZPOC9yT3U0dS9waUlwYkNlcUhHM3FmQkZENU5ZOWJPUWtMc1gvS2ZM,,지름 22.0cm,나무-기타,조선,,,,,,,"국자모양이나 바닥에 숭숭구멍이 뚫었음, 물에 삶은 음식을 건지는 제구",식생활-음식기-저장운반-함지박,국적:한국||출토지:제주도-북제주군,http://www.emuseum.go.kr/detail?relicId=PS0100319100100052300000
25,26,MPKB22,제주민속자연사,이뮤지엄 DB,분청사기사발,,www.emuseum.go.kr/openapi/img?serviceKey=kO9jaifU0nrZ8RQ8evzDVGu6q5N6m9VA1AzldpyBFgLV1cWEvF4oHEXJ9QUDU%2FDcp7I4oTZxdpLxAxF4WPZHXFoqQFh7J3JClD%2F9h0mxYNNoTsWepAIwX68hdt3%2FqsBwCTabL1cgnLw%3D&imageId=b1NjZ0U2eTNUZE9yU1pyY2FTU01pc1ZlT3hRaERzWlgycDRMVWxxQ2g3eXJ0eFFwaDdQNm9vcjZ3UFpmYjcyVHBSRmxOTlJrMFZROFRqK0FpQ1NhK1k3akNWVmpjd0pk,,"높이 10.0cm, 지름 13.0cm",도자기-분청,조선,,,,,,,"기벽에 잡물이 많이 붙어있음
실금",식생활-음식기-음식-발,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100319100100055800000
26,27,MPKB22,제주민속자연사,이뮤지엄 DB,도고리(함지),,www.emuseum.go.kr/openapi/img?serviceKey=48bu8SJi4SE7s3xn3Xp49ZQ0W%2B005sLqX%2BmgOgSlI4e9Fip3Sd70X8W6R9v%2FuM6b3%2B52fTyJNI4g8o4mKYXji%2B3n%2FuGEMhpHch9jjcuNtxrMZvryixu%2BuuaFHj%2FvGxK1ANcZXZ24vnc%3D&imageId=V1FibnpEM2x5UU9OT2JwanEwYmpVclRUKytiR04rS1E4c3E0QWk3NGZrd0FOSTduUnZsdFBMOE1rbEFYMndTdGdlOEZ5ZkgzdDEzYmVzZk5pZTBhZ0dpYXVhUm96YnQ2,,"높이 23.0cm, 지름 82.0cm",나무-기타,조선,,,,,,,,식생활-음식기-저장운반-함지박,국적:한국||출토지:제주도-북제주군,http://www.emuseum.go.kr/detail?relicId=PS0100319100100068100000
27,28,MPKB22,제주여성역사,이뮤지엄 DB,글갱이,,www.emuseum.go.kr/openapi/img?serviceKey=8zoUjV%2FwP9mQafbxvT3snZ%2FB04nXcZtwjaHeZVCcu3%2Bb5jEo82vWlUwGz5EG8K4JI09TbQXSLFs4OMHPnt1DS1Rw15rGpFZZMLshXfdLZnTQNNps20%2FQIWG5%2BW%2BvC%2BFYXtIKjW54lwY%3D&imageId=S1NZRVJPRTNCS1VRYVpMbGRLOFIxeno1R0dGdnFJRjk3WWxUTVVzdGk5UFJ6VFBWZ1N2aWlQaTV3b3RTUGdYU1E5TEg4UXJFdGM3Z2lpbkNxZmlRQUE9PQ%3D%3D,,"전체길이 36cm, 전체너비 9cm, 자루길이 12cm",금속-철,광복이후,,,,,,,"일반적인 호맹이의 모습을 하고 있다.
전체적으로 양호하나 금속부분에 부식이 있어 관리가 필요하다.",산업/생업-어업-어로-기타,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100103600000
28,29,MPKB22,제주여성역사,이뮤지엄 DB,빗창,,www.emuseum.go.kr/openapi/img?serviceKey=GKkjmJTuEoRKAMBah3uhFjD3mMYbX173DuqCTxwaMjij4hzTfRWCIILUcQJmd1kwRS8yL%2FFVvfkRb1Uz9px3frw2fQqXtxjFG%2F%2BE5ioGfnLvzW4aAGs5ndLV6IMZmt%2BZiMKlkLY7Stk%3D&imageId=ekVDa0FkMUZxbEhXTTRzQzE0MjJIVWFCaFMxcEZkT2lzalVnR2tuY0pucDZiRHdpRlliVCs5U2p4TCtKVW9TSlg5ditoL2FoTm8rYnFFaW9xUUdVMGc9PQ%3D%3D,,"전체길이 28.8cm, 전체너비 2.3cm",금속-철,광복이후,,,,,,,"일반적인 빗창의 모양을 하고 있다. 
부식이 심해서 관리가 필요하다.",산업/생업-어업-어로-비창,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100103700000
29,30,MPKB22,제주여성역사,이뮤지엄 DB,소살,,www.emuseum.go.kr/openapi/img?serviceKey=is902bKKLQMdnEo2v722pA89MAdbL5V%2BpyvH68ADwmg3wxj%2BSSnmT5k9HeQazVJGmpF3mkdevKaeoEdancJU74Sh%2FTySlKs6N4IE5NjTEZLX8s0GGPZDauq0o9%2BzGcIeijE94QLCgeA%3D&imageId=ZjVxM25GY1duaFVuR1pNQkpQTmpUTVp0VXc0Z3JqTHVTZzVoTEgrdlAvMzJzWEdEazV5dlpNMzlWRVVJejBaVGV0RnZTbnBON1NzR3pXbDhXc0lIbWc9PQ%3D%3D,,"전체길이 140cm, 전체너비 1.8cm",금속-철,광복이후,,,,,,,"일반적인 소살의 모양을 하고 있다.
대 끝에 달려 있는 고무줄은 현재 일부만 남아있다. 전체적으로 조록부분인 대나무는 양호한편이나 솰부분인 금속은 부식이 진행되어 관리가 필요하다.",산업/생업-어업-어로-작살,국적:한국||출토지:제주도-서귀포시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100103800000
